"","hgnc_symbol","ensembl_gene_id","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"192","APOE","ENSG00000130203","rs58826447","41640057",7e-54,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"193","APOE","ENSG00000130203","rs4263041","31667532",5e-10,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"194","APOE","ENSG00000130203","rs116949436","41168659",7e-50,NA,14.848961,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"195","APOE","ENSG00000130203","rs57270598","31666984",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"196","APOE","ENSG00000130203","rs2238681",NA,NA,NA,NA,NA,NA,NA
"197","APOE","ENSG00000130203","rs117310449","31666916",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"198","APOE","ENSG00000130203","rs405509","36141709",2e-21,0.077322,NA,"[1.46-1.77]","Alzheimer's disease","EFO_0000249"
"199","APOE","ENSG00000130203","rs10407439","41168649",1e-58,NA,16.138115,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"200","APOE","ENSG00000130203","rs11668327","55280166",9e-57,0.3473,5.155,"[4.47-5.84]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"201","APOE","ENSG00000130203","rs584007","55279462",1e-19,0.002779,0.02548,"[0.02-0.031]","triglyceride measurement, sleep duration","EFO_0004530, EFO_0005271"
"202","APOE","ENSG00000130203","rs144261139","55477973",1e-10,NA,NA,"[1.82-3.09]","Alzheimer's disease","EFO_0000249"
"203","APOE","ENSG00000130203","rs11666329","31666876",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"204","APOE","ENSG00000130203","rs12721051","80055665",1e-179,0.0037,0.1061,"[0.099-0.113]","total cholesterol measurement","EFO_0004574"
"205","APOE","ENSG00000130203","rs61679753","31667420",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"206","APOE","ENSG00000130203","rs5117","55279763",6e-45,0.003284,0.03706,"[0.031-0.043]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"207","APOE","ENSG00000130203","rs8106922","35814748",7e-24,NA,0.05,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"208","APOE","ENSG00000130203","rs12721054","47266473",6e-39,0.009367529,0.1222335,"[0.1-0.14]","triglyceride measurement","EFO_0004530"
"209","APOE","ENSG00000130203","rs406315","41640065",5e-50,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"210","APOE","ENSG00000130203","rs77241309","31667404",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"211","APOE","ENSG00000130203","rs41289512","41169003",6e-276,NA,35.5,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"212","APOE","ENSG00000130203","rs2972562","31666908",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"213","APOE","ENSG00000130203","rs117264457","61999968",2e-44,0.00653893,0.0914817,"[0.079-0.104]","c-reactive protein measurement","EFO_0004458"
"214","APOE","ENSG00000130203","rs1038026","47264274",1e-14,0.3174591,2.444245,"[1.82-3.07]","low density lipoprotein cholesterol measurement","EFO_0004611"
"215","APOE","ENSG00000130203","rs439401","35848258",2e-59,NA,0.068,NA,"triglyceride measurement","EFO_0004530"
"216","APOE","ENSG00000130203","rs141864196","41168863",3e-10,NA,6.313068,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"217","APOE","ENSG00000130203","rs12691088","64675731",1e-300,NA,1.18305,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"218","APOE","ENSG00000130203","rs7254723","41640107",7e-22,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"219","APOE","ENSG00000130203","rs116881820","45610162",1e-30,0.017623061,0.20294493,"[0.17-0.24]","HMG CoA reductase inhibitor use measurement","EFO_0009932"
"220","APOE","ENSG00000130203","rs7254892","47738227",2e-136,0.5187,12.8991,"[11.88-13.92]","low density lipoprotein cholesterol measurement","EFO_0004611"
"221","APOE","ENSG00000130203","rs769449","35814793",3e-157,NA,0.194,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"222","APOE","ENSG00000130203","rs2075650","15309",1e-295,NA,NA,"[2.41-2.66]","Alzheimer's disease","EFO_0000249"
"223","APOE","ENSG00000130203","rs71171301","64675698",5e-29,NA,0.171993,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"224","APOE","ENSG00000130203","rs405697","36141500",1e-13,0.036026,NA,NA,"Alzheimer's disease","EFO_0000249"
"225","APOE","ENSG00000130203","rs75627662","41111942",1e-295,NA,36.79,NA,"family history of Alzheimer’s disease","EFO_0009268"
"226","APOE","ENSG00000130203","rs28399637","41168629",2e-143,NA,25.508192,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"227","APOE","ENSG00000130203","rs11673139","35848188",1e-18,NA,0.064,NA,"triglyceride measurement","EFO_0004530"
"228","APOE","ENSG00000130203","rs2288912","10076487",4e-06,NA,4.617,NA,"very long-chain saturated fatty acid measurement","EFO_0006796"
"229","APOE","ENSG00000130203","rs71352238","36141370",7e-69,0.019446,NA,NA,"Alzheimer's disease","EFO_0000249"
"230","APOE","ENSG00000130203","rs56131196","35814873",6e-163,NA,0.163,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"231","APOE","ENSG00000130203","rs143459034","31667304",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"232","APOE","ENSG00000130203","rs484195","64674951",3e-67,NA,17.3,NA,"alkaline phosphatase measurement","EFO_0004533"
"233","APOE","ENSG00000130203","rs59007384","35789206",3e-13,NA,0.11,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"234","APOE","ENSG00000130203","rs283812","35904201",3e-07,0.1,0.55,"[0.35-0.75]","Alzheimer's disease, beta-amyloid 1-42 measurement","EFO_0000249, EFO_0004670"
"235","APOE","ENSG00000130203","rs10414043","35789151",2e-20,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"236","APOE","ENSG00000130203","rs12721046","35789181",1e-14,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"237","APOE","ENSG00000130203","rs35577563","55279168",8e-24,0.001099,0.009419,"[0.0073-0.0116]","high density lipoprotein cholesterol measurement, sleep duration","EFO_0004612, EFO_0005271"
"238","APOE","ENSG00000130203","rs741780",NA,NA,NA,NA,NA,NA,NA
"239","APOE","ENSG00000130203","rs395908","35814733",3e-97,NA,0.136,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"240","APOE","ENSG00000130203","rs204474","55278616",2e-15,0.001025,0.007205,"[0.0052-0.0092]","high density lipoprotein cholesterol measurement, sleep duration","EFO_0004612, EFO_0005271"
"241","APOE","ENSG00000130203","rs8106813","31667488",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"242","APOE","ENSG00000130203","rs2972558","31667444",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"243","APOE","ENSG00000130203","rs10426423","36141685",3e-06,0.060334,NA,"[1.15-1.38]","Alzheimer's disease","EFO_0000249"
"244","APOE","ENSG00000130203","rs141441332","55477980",1e-11,NA,NA,"[1.96-3.38]","Alzheimer's disease","EFO_0000249"
"245","APOE","ENSG00000130203","rs142412517","41168809",2e-12,NA,7.033927,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"246","APOE","ENSG00000130203","rs283810","55280507",4e-29,0.4486,4.262,"[3.38-5.14]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"247","APOE","ENSG00000130203","rs60049679","31400530",2e-70,NA,NA,NA,"family history of Alzheimer’s disease","EFO_0009268"
"248","APOE","ENSG00000130203","rs148303016","61999964",2e-39,0.00460065,0.0604872,"[0.051-0.07]","c-reactive protein measurement","EFO_0004458"
"249","APOE","ENSG00000130203","rs10402271","35814723",2e-58,NA,0.081,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"250","APOE","ENSG00000130203","rs769455","43769815",2e-18,NA,0.21,NA,"triglyceride measurement","EFO_0004530"
"251","APOE","ENSG00000130203","rs184017","35789251",3e-10,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"252","APOE","ENSG00000130203","rs2927468","31667432",4e-108,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"253","APOE","ENSG00000130203","rs3852860","31666928",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"254","APOE","ENSG00000130203","rs28399607","61999952",2e-25,0.00468477,0.0488741,"[0.04-0.058]","c-reactive protein measurement","EFO_0004458"
"255","APOE","ENSG00000130203","rs11556505","35789176",2e-15,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"256","APOE","ENSG00000130203","rs41290100","41168762",2e-15,NA,7.9216814,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"257","APOE","ENSG00000130203","rs1130742","31390086",5e-72,0.03,0.49,"[0.43-0.55]","blood protein measurement","EFO_0007937"
"258","APOE","ENSG00000130203","rs483082","56275157",1e-292,0.00234895,0.0858847,"[0.081-0.09]","triglyceride measurement","EFO_0004530"
"259","APOE","ENSG00000130203","rs445925","21413839",1e-129,0.021,0.523,"[0.48-0.56]","low density lipoprotein cholesterol measurement","EFO_0004611"
"260","APOE","ENSG00000130203","rs6857","56273791",0,0.00275941,0.157677,"[0.15-0.16]","low density lipoprotein cholesterol measurement","EFO_0004611"
"261","APOE","ENSG00000130203","rs204469","56274626",9e-09,0.00511875,0.0294656,"[0.019-0.039]","low density lipoprotein cholesterol measurement","EFO_0004611"
"262","APOE","ENSG00000130203","rs412776","31666920",5e-15,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"263","APOE","ENSG00000130203","rs283815","36141777",9e-23,0.033836,NA,NA,"Alzheimer's disease","EFO_0000249"
"264","APOE","ENSG00000130203","rs519113","33529",5e-39,NA,NA,"[1.87-2.34]","Alzheimer's disease","EFO_0000249"
"265","APOE","ENSG00000130203","rs113743631","56277645",3e-17,0.00754799,0.0637083,"[0.049-0.079]","apolipoprotein B measurement","EFO_0004615"
"266","APOE","ENSG00000130203","rs365653","31666948",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"267","APOE","ENSG00000130203","rs1038025",NA,NA,NA,NA,NA,NA,NA
"268","APOE","ENSG00000130203","rs204914","61999992",4e-33,0.00491868,0.0589887,"[0.049-0.069]","c-reactive protein measurement","EFO_0004458"
"269","APOE","ENSG00000130203","rs138692741","56277440",3e-36,0.00569026,0.0715279,"[0.06-0.083]","apolipoprotein B measurement","EFO_0004615"
"270","APOE","ENSG00000130203","rs35194062","64675704",8e-18,NA,0.198766,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"271","APOE","ENSG00000130203","rs1081105","41168616",1e-231,NA,32.50298,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"272","APOE","ENSG00000130203","rs547509922","41168788",3e-13,NA,7.314314,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"273","APOE","ENSG00000130203","rs17561351","64401660",5e-14,0.0046529965,0.03503118,"[0.026-0.044]","platelet crit","EFO_0007985"
"274","APOE","ENSG00000130203","rs28399664","55477985",6e-16,NA,NA,"[2.06-3.26]","Alzheimer's disease","EFO_0000249"
"275","APOE","ENSG00000130203","rs144311893","56271711",1e-70,0.00690512,0.122774,"[0.11-0.14]","apolipoprotein a 1 measurement","EFO_0004614"
"276","APOE","ENSG00000130203","rs139136389","61999984",8e-21,0.00753855,0.0705787,"[0.056-0.085]","c-reactive protein measurement","EFO_0004458"
"277","APOE","ENSG00000130203","rs3112440","64675692",2e-14,NA,0.102341,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"278","APOE","ENSG00000130203","rs7412","64699830",0,0.0091,0.576,"[0.56-0.59]","low density lipoprotein cholesterol measurement","EFO_0004611"
"279","APOE","ENSG00000130203","rs34404554","35789171",2e-15,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"280","APOE","ENSG00000130203","rs118147862","80057081",1e-300,0.0082,0.3977,"[0.38-0.41]","low density lipoprotein cholesterol measurement","EFO_0004611"
"281","APOE","ENSG00000130203","rs77301115","41640049",7e-74,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"282","APOE","ENSG00000130203","rs157595","41640036",1e-97,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"283","APOE","ENSG00000130203","rs138235833","31667504",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"284","APOE","ENSG00000130203","rs283813","64675710",8e-28,NA,0.20705,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"285","APOE","ENSG00000130203","rs204480","41168887",6e-09,NA,5.81275,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"286","APOE","ENSG00000130203","rs157588","35814743",7e-10,NA,0.103,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"287","APOE","ENSG00000130203","rs3745150","64083015",3e-09,0.0022749577,0.013501041,"[0.009-0.018]","lymphocyte count","EFO_0004587"
"288","APOE","ENSG00000130203","rs66626994","41246657",2e-09,0.0066,0.0396,"[0.027-0.053]","high density lipoprotein cholesterol measurement","EFO_0004612"
"289","APOE","ENSG00000130203","rs147711004","55735655",2e-09,NA,NA,NA,"body mass index","EFO_0004340"
"290","APOE","ENSG00000130203","rs7260330","31398455",2e-16,0.03,0.24,"[0.18-0.3]","blood protein measurement","EFO_0007937"
"291","APOE","ENSG00000130203","rs41290108","61999960",1e-25,0.00520062,0.0544411,"[0.044-0.065]","c-reactive protein measurement","EFO_0004458"
"292","APOE","ENSG00000130203","rs112283362","61999956",2e-08,0.0082936,0.0465808,"[0.03-0.063]","c-reactive protein measurement","EFO_0004458"
"293","APOE","ENSG00000130203","rs10405693","36141567",3e-14,0.030243,NA,NA,"Alzheimer's disease","EFO_0000249"
"294","APOE","ENSG00000130203","rs814573","31399560",5e-15,0.03,0.25,"[0.19-0.31]","blood protein measurement","EFO_0007937"
"295","APOE","ENSG00000130203","rs1871047","64652193",2e-09,0.00192,0.0113,"[0.0075-0.0151]","urate measurement","EFO_0004531"
"296","APOE","ENSG00000130203","rs769450","36141700",6e-19,0.079488,NA,"[1.44-1.75]","Alzheimer's disease","EFO_0000249"
"297","APOE","ENSG00000130203","rs10119","31400337",1e-307,NA,NA,"[1.41, 1.46]","family history of Alzheimer’s disease","EFO_0009268"
"298","APOE","ENSG00000130203","rs1160984","41168719",2e-20,NA,9.292308,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"299","APOE","ENSG00000130203","rs1135062","31667388",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"300","APOE","ENSG00000130203","rs4452060","56273809",0,0.00210522,0.0833597,"[0.079-0.087]","low density lipoprotein cholesterol measurement","EFO_0004611"
"301","APOE","ENSG00000130203","rs11668738","31667440",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"302","APOE","ENSG00000130203","rs73050293","31667448",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"303","APOE","ENSG00000130203","rs115299243","47266417",1e-14,0.02016713,0.1560534,"[0.12-0.2]","triglyceride measurement","EFO_0004530"
"304","APOE","ENSG00000130203","rs141622900","63369758",1e-31,0.0124084,0.145241,"[0.12-0.17]","coronary artery disease","EFO_0001645"
"305","APOE","ENSG00000130203","rs115881343","38722",4e-09,NA,0.044,"[.02931-.0585]","Mental deterioration","HP_0001268"
"306","APOE","ENSG00000130203","rs138607350","64675715",4e-102,NA,1.03437,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"307","APOE","ENSG00000130203","rs157582","36141400",4e-63,0.020682,NA,NA,"Alzheimer's disease","EFO_0000249"
"308","APOE","ENSG00000130203","rs41290120","38507966",0,NA,NA,NA,"low density lipoprotein cholesterol measurement, physical activity","EFO_0004611, EFO_0003940"
"309","APOE","ENSG00000130203","rs140824606","31667380",4e-26,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"310","APOE","ENSG00000130203","rs406456","31667460",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"311","APOE","ENSG00000130203","rs4420638","41430296",1e-305,0.006,0.229,"[0.22-0.24]","c-reactive protein measurement","EFO_0004458"
"312","APOE","ENSG00000130203","rs9304644","31666976",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"313","APOE","ENSG00000130203","rs1160985","62303686",2e-27,NA,9.23,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"314","APOE","ENSG00000130203","rs59325138","31666940",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"315","APOE","ENSG00000130203","rs1160983","55735474",3e-09,NA,NA,NA,"body mass index","EFO_0004340"
"316","APOE","ENSG00000130203","rs157591",NA,NA,NA,NA,NA,NA,NA
"317","APOE","ENSG00000130203","rs73048293",NA,NA,NA,NA,NA,NA,NA
"318","APOE","ENSG00000130203","rs4803774","64675686",5e-15,NA,0.0747163,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"319","APOE","ENSG00000130203","rs12976395","56278742",1e-90,0.00205167,0.041418,"[0.037-0.045]","high density lipoprotein cholesterol measurement","EFO_0004612"
"320","APOE","ENSG00000130203","rs79429216","31399403",7e-45,0.11,1.5,"[1.28-1.72]","blood protein measurement","EFO_0007937"
"321","APOE","ENSG00000130203","rs73045691","31666972",2e-19,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"322","APOE","ENSG00000130203","rs429358","41430763",0,0.006,0.247,"[0.24-0.26]","c-reactive protein measurement","EFO_0004458"
"323","APOE","ENSG00000130203","rs35396326","47885265",2e-08,0.0044281,0.024742,"[0.016-0.033]","urate measurement","EFO_0004531"
"324","APOE","ENSG00000130203","rs10412413","31667392",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"325","APOE","ENSG00000130203","rs12972156","35789217",4e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"326","APOE","ENSG00000130203","rs769446","31579877",2.96439387504748e-322,0.0134,0.5141,"[0.49-0.54]","low density lipoprotein cholesterol measurement","EFO_0004611"
"327","APOE","ENSG00000130203","rs387976","62654104",4e-11,0.002015,0.013305,"[0.0094-0.0173]","mean corpuscular hemoglobin concentration","EFO_0004528"
"328","APOE","ENSG00000130203","rs35136575","35844168",5e-09,NA,0.025,NA,"high density lipoprotein cholesterol measurement","EFO_0004612"
"329","APOE","ENSG00000130203","rs393584","31666912",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"330","APOE","ENSG00000130203","rs146275714","64675721",1e-300,NA,1.11415,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"331","APOE","ENSG00000130203","rs56394238","31666888",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"332","APOE","ENSG00000130203","rs438811","31394692",0,0.02,1.24,"[1.2-1.28]","blood protein measurement","EFO_0007937"
"333","APOE","ENSG00000130203","rs142092405","41168818",6e-12,NA,6.8754373,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"334","APOE","ENSG00000130203","rs112262807","31667372",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"335","APOE","ENSG00000130203","rs283811","21430333",1e-15,NA,NA,"[2.02-3.24]","Alzheimer's disease","EFO_0000249"
"336","APOE","ENSG00000130203","rs390082","31587099",3e-29,0.008686,0.09747,"[0.08-0.114]","triglyceride measurement","EFO_0004530"
"337","APOE","ENSG00000130203","rs34878901",NA,NA,NA,NA,NA,NA,NA
"338","CD36","ENSG00000135218","rs10499859","13242",3e-06,NA,0.091,NA,"left ventricular structural measurement","EFO_0008205"
"339","CD36","ENSG00000135218","rs7795231","62074062",2e-09,NA,NA,NA,"diffuse plaque measurement","EFO_0010699"
"340","CD36","ENSG00000135218","rs10230573","15728455",5e-09,NA,NA,NA,"age-related hearing impairment","EFO_0005782"
"341","CD36","ENSG00000135218","rs799979","15745590",3e-08,0.1336,0.7513,"[0.49-1.01]","cognitive decline measurement, cognitive impairment","EFO_0007710, HP_0100543"
"342","CD36","ENSG00000135218","rs11574703","23126",8e-08,0.68,3.72,"[2.39-5.05]","response to fenofibrate","GO_1901557"
"343","CD36","ENSG00000135218","rs3211928",NA,NA,NA,NA,NA,NA,NA
"344","CD36","ENSG00000135218","rs111747875","56295401",3e-06,0.0152,NA,"[1.04-1.1]","unipolar depression","EFO_0003761"
"345","CD36","ENSG00000135218","rs3211932","62653144",4e-10,0.001941,0.012119,"[0.0083-0.0159]","mean corpuscular hemoglobin concentration","EFO_0004528"
"346","CD36","ENSG00000135218","rs144501645","78853064",5e-06,NA,NA,"[1.36199999999999-2.161]","coronary artery disease, Ischemic stroke, rare dyslipidemia","EFO_0001645, HP_0002140, Orphanet_101953"
"347","CD36","ENSG00000135218","rs3211938","80058146",3e-27,0.0113,0.122,"[0.1-0.144]","high density lipoprotein cholesterol measurement","EFO_0004612"
"348","CD36","ENSG00000135218","rs7797401","21891723",6e-22,0.003658713,0.03522368,"[0.028-0.042]","red blood cell distribution width","EFO_0005192"
"349","CD36","ENSG00000135218","rs3211931","36507754",9e-19,NA,NA,NA,"erythrocyte count","EFO_0004305"
"350","CD36","ENSG00000135218","rs71835930","64204176",7e-10,0.0045733107,0.028193384,"[0.019-0.037]","basophil count","EFO_0005090"
"351","CD36","ENSG00000135218","rs3211958","64408722",4e-10,0.0024295207,0.015174541,"[0.01-0.02]","mean corpuscular volume","EFO_0004526"
"352","CD36","ENSG00000135218","rs2366855","41172101",8e-08,NA,NA,NA,"body height","EFO_0004339"
"353","CD36","ENSG00000135218","rs11768817","62498772",3e-09,NA,NA,NA,"basophil count","EFO_0005090"
"354","CD36","ENSG00000135218","rs11974777","62506999",7e-10,NA,NA,NA,"myeloid white cell count","EFO_0007988"
"355","CD36","ENSG00000135218","rs144517871","55678508",4e-12,0.181462,1.25619,"[0.9-1.61]","CCL24 measurement","EFO_0009418"
"356","CD36","ENSG00000135218","rs2177616","31583795",1e-06,0.004269,0.02081,"[0.012-0.029]","platelet count","EFO_0004309"
"357","CD36","ENSG00000135218","rs3212005","55419043",3e-06,0.4687105,2.1884618,"[1.27-3.11]","cyclic adenosine monophosphate measurement","EFO_0010473"
"358","CD36","ENSG00000135218","rs139906208","62422917",4e-16,0.020869,0.17006,"[0.13-0.21]","red blood cell distribution width","EFO_0005192"
"359","CD36","ENSG00000135218","rs143722364","62512930",2e-10,0.009734,0.062366,"[0.043-0.081]","mean corpuscular hemoglobin concentration","EFO_0004528"
"360","CD36","ENSG00000135218","rs11764390","62748999",4e-35,0.001948,0.024097,"[0.02-0.028]","mean platelet volume","EFO_0004584"
"361","CD36","ENSG00000135218","rs34622902","62224646",2e-07,0.300413,1.56048,"[0.97-2.15]","gut microbiome measurement","EFO_0007874"
"362","CD36","ENSG00000135218","rs139761834","31583621",2e-17,0.01184,0.1004,"[0.077-0.124]","platelet count","EFO_0004309"
"363","CD36","ENSG00000135218","rs141901413","62518820",1e-10,0.004364,0.028257,"[0.02-0.037]","basophil count","EFO_0005090"
"364","CD36","ENSG00000135218","rs74524365","63426769",3e-08,0.0102141,0.0550943,"[0.035-0.075]","electrocardiography","EFO_0004327"
"365","CD36","ENSG00000135218","rs144703049","62426381",6e-11,NA,NA,NA,"hemoglobin measurement","EFO_0004509"
"366","CD36","ENSG00000135218","rs11772036","62422753",7e-10,0.014519,0.08974,"[0.061-0.118]","platelet count","EFO_0004309"
"367","CD36","ENSG00000135218","rs7800804","62319227",2e-08,NA,0.009073,NA,"protein measurement","EFO_0004747"
"368","CD36","ENSG00000135218","rs3212018","64412459",1e-34,0.0036348752,0.044599354,"[0.037-0.052]","mean reticulocyte volume","EFO_0010701"
"369","CD36","ENSG00000135218","rs4470970","47144808",6e-51,NA,NA,NA,"high density lipoprotein cholesterol measurement, alcohol consumption measurement","EFO_0004612, EFO_0007878"
"370","CD36","ENSG00000135218","rs60839105","17479133",1e-08,0.518,2.948,"[1.93-3.96]","high density lipoprotein cholesterol measurement","EFO_0004612"
"371","CD36","ENSG00000135218","rs1049654","64412451",6e-12,0.0030956434,0.021263357,"[0.015-0.027]","mean reticulocyte volume","EFO_0010701"
"372","CD36","ENSG00000135218","rs2366858","33814",6e-10,NA,0.0325,NA,"high density lipoprotein cholesterol measurement","EFO_0004612"
"373","CD36","ENSG00000135218","rs11770907","63370909",2e-08,NA,0.0497,NA,"platelet-derived growth factor BB measurement","EFO_0008264"
"374","CD36","ENSG00000135218","rs3173805","36479761",2e-10,NA,NA,NA,"mean corpuscular hemoglobin","EFO_0004527"
"375","CD36","ENSG00000135218","rs4731606",NA,NA,NA,NA,NA,NA,NA
"376","CD36","ENSG00000135218","rs11974227","62500552",2e-51,NA,NA,NA,"platelet count","EFO_0004309"
"377","CD36","ENSG00000135218","rs6961069","62746549",6e-36,0.001872,0.023444,"[0.02-0.027]","platelet count","EFO_0004309"
"378","CD36","ENSG00000135218","rs148083940","62503140",2e-22,NA,NA,NA,"red blood cell density measurement","EFO_0007978"
"379","CD36","ENSG00000135218","rs76627715","36599378",1e-09,NA,0.216,NA,"diastolic blood pressure","EFO_0006336"
"380","CD36","ENSG00000135218","rs1058425","64336873",3e-09,0.002836361,0.016890367,"[0.011-0.022]","erythrocyte count","EFO_0004305"
"381","CD36","ENSG00000135218","rs7796785","62744363",4e-11,0.008175,0.054114,"[0.038-0.07]","neutrophil count","EFO_0004833"
"382","CD36","ENSG00000135218","rs181616813","64333701",2e-18,0.0036862749,0.032334,"[0.025-0.04]","red blood cell distribution width","EFO_0005192"
"383","CD36","ENSG00000135218","rs6963015","34992004",6e-09,NA,NA,NA,"adolescent idiopathic scoliosis","EFO_0005423"
